Experiment_Set,Run_Number,Iteration,p,e,Best_Fitness,Average_Fitness,Standard_Deviation
2,2,5500,100,0.6,3002.0,5770.97,1498.626587612805
2,2,6000,100,0.6,2675.0,5995.57,1612.5869728792927
2,2,6500,100,0.6,2463.0,5928.85,1330.8143550097436
2,2,7000,100,0.6,3076.0,5857.09,1246.9380024283487
2,2,7500,100,0.6,2758.0,6057.44,1674.6449792120122
2,2,8000,100,0.6,2773.0,5722.95,1445.7556043467375
2,2,8500,100,0.6,2646.0,5647.35,1293.0935958003968
2,2,9000,100,0.6,2505.0,5614.46,1544.6606321130866
2,2,9500,100,0.6,2663.0,5752.87,1508.3938918929632
2,2,10000,100,0.6,1960.0,5887.82,1328.1175277813331
2,3,0,100,0.6,2894.0,5948.8,1640.4789483562415
2,3,500,100,0.6,3481.0,6109.42,1327.8755602841707
2,3,1000,100,0.6,3233.0,6270.82,1611.427853675119
2,3,1500,100,0.6,2578.0,6267.39,1583.4441442311754
2,3,2000,100,0.6,2686.0,6032.15,1654.640893819562
2,3,2500,100,0.6,2816.0,6191.63,1338.0490323975425
2,3,3000,100,0.6,2774.0,6082.41,1657.589057004178
2,3,3500,100,0.6,2657.0,5860.74,1656.2531184574416
2,3,4000,100,0.6,2187.0,5890.87,1808.5185741650541
2,3,4500,100,0.6,2062.0,6113.92,1645.687434964489
2,3,5000,100,0.6,2455.0,5713.5,1533.7384033791423
2,3,5500,100,0.6,3397.0,5806.81,1442.289025785054
2,3,6000,100,0.6,1835.0,5852.58,1568.6566238664216
2,3,6500,100,0.6,2599.0,5624.07,1458.45739913787
2,3,7000,100,0.6,2581.0,5770.17,1441.8465456143383
2,3,7500,100,0.6,2302.0,5914.2,1442.5852557128123
2,3,8000,100,0.6,2838.0,5759.65,1540.3791635503253
2,3,8500,100,0.6,1952.0,5594.9,1529.8600491548239
2,3,9000,100,0.6,3049.0,5579.82,1244.9640105641608
2,3,9500,100,0.6,2749.0,5484.33,1396.8304195928724
2,3,10000,100,0.6,2811.0,5692.42,1524.7892325170715
2,4,0,100,0.6,3000.0,6274.24,1854.717644926041
2,4,500,100,0.6,2792.0,6255.46,1518.2817882066558
2,4,1000,100,0.6,3018.0,5961.75,1488.2115802196945
2,4,1500,100,0.6,2272.0,6074.12,1552.3364601786561
2,4,2000,100,0.6,2508.0,6210.39,1470.478860065659
2,4,2500,100,0.6,2640.0,6056.2,1644.762919085909
